delta,alpha,Re,Cl,Cd,Cm,Cl_alpha
0,-12.5,0.3,-0.795345,0.02947,-0.0864,2.58485
0,-12.5,0.4,-0.818631,0.02661,-0.0853,2.59838
0,-12.5,0.5,-0.839822,0.02454,-0.084,2.68173
0,-12.5,0.6,-0.858076,0.02303,-0.0827,2.79648
0,-12.5,0.7,-0.872256,0.02186,-0.0816,2.87004
0,-12.5,0.8,-0.884228,0.02089,-0.0804,2.95583
0,-12.5,0.9,-0.8945,0.02015,-0.0795,3.04889
0,-12.5,1,-0.902946,0.01959,-0.0789,3.10531
0,-12.5,1.25,-0.919649,0.01832,-0.077,3.23495
0,-12.5,1.5,-0.932319,0.01744,-0.0757,3.34309
0,-12.5,1.75,-0.942337,0.01681,-0.0747,3.42
0,-12.5,2,-0.950416,0.01622,-0.0736,3.4821
0,-12.5,2.5,-0.963613,0.01537,-0.072,3.5957
0,-12.5,3,-0.973897,0.01478,-0.0708,3.67434
0,-12.5,3.5,-0.98195,0.01428,-0.0697,3.73229
0,-12.5,4,-0.988898,0.01386,-0.0687,3.77424
0,-12,0.2,-0.755701,0.03206,-0.0836,2.88313
0,-12,0.3,-0.771837,0.02779,-0.0834,2.79641
0,-12,0.4,-0.794947,0.02507,-0.082,2.82587
0,-12,0.5,-0.815392,0.02325,-0.0807,2.9156
0,-12,0.6,-0.83261,0.02181,-0.0792,3.03832
0,-12,0.7,-0.846159,0.0208,-0.0781,3.11075
0,-12,0.8,-0.857413,0.01992,-0.077,3.19037
0,-12,0.9,-0.866889,0.0192,-0.076,3.27945
0,-12,1,-0.874869,0.01862,-0.0751,3.33029
0,-12,1.25,-0.890524,0.01754,-0.0735,3.44182
0,-12,1.5,-0.902307,0.01669,-0.072,3.53706
0,-12,1.75,-0.911702,0.01607,-0.0709,3.60328
0,-12,2,-0.919294,0.0156,-0.0701,3.65332
0,-12,2.5,-0.931577,0.01477,-0.0683,3.74911
0,-12,3,-0.941227,0.01419,-0.067,3.81569
0,-12,3.5,-0.948834,0.01375,-0.0661,3.86023
0,-12,4,-0.95545,0.01338,-0.0651,3.89481
0,-11.5,0.2,-0.729655,0.03042,-0.0806,3.0741
0,-11.5,0.3,-0.746646,0.02633,-0.0802,2.97115
0,-11.5,0.4,-0.769382,0.0238,-0.0787,3.02872
0,-11.5,0.5,-0.788985,0.02205,-0.0771,3.13283
0,-11.5,0.6,-0.805099,0.02077,-0.0757,3.26268
0,-11.5,0.7,-0.817996,0.01977,-0.0744,3.34074
0,-11.5,0.8,-0.828565,0.01904,-0.0734,3.4187
0,-11.5,0.9,-0.837287,0.01838,-0.0724,3.50206
0,-11.5,1,-0.844836,0.01782,-0.0715,3.55065
0,-11.5,1.25,-0.859574,0.01681,-0.0698,3.65028
0,-11.5,1.5,-0.870578,0.01605,-0.0685,3.73382
0,-11.5,1.75,-0.879436,0.01544,-0.0673,3.79092
0,-11.5,2,-0.886632,0.01497,-0.0663,3.83214
0,-11.5,2.5,-0.898151,0.01425,-0.0648,3.91215
0,-11.5,3,-0.907272,0.01367,-0.0634,3.96701
0,-11.5,3.5,-0.914539,0.01323,-0.0624,4.00107
0,-11.5,4,-0.920876,0.01289,-0.0615,4.03088
0,-11,0.2,-0.702229,0.02887,-0.0775,3.20287
0,-11,0.3,-0.720072,0.02502,-0.0769,3.11445
0,-11,0.4,-0.742166,0.02269,-0.0753,3.20419
0,-11,0.5,-0.760786,0.02098,-0.0734,3.3253
0,-11,0.6,-0.775743,0.01987,-0.0721,3.46043
0,-11,0.7,-0.787922,0.01892,-0.0707,3.547
0,-11,0.8,-0.797808,0.01818,-0.0696,3.62586
0,-11,0.9,-0.805831,0.01762,-0.0687,3.70289
0,-11,1,-0.812955,0.01714,-0.068,3.75182
0,-11,1.25,-0.826855,0.01613,-0.0661,3.84515
0,-11,1.5,-0.837172,0.01545,-0.0649,3.91967
0,-11,1.75,-0.845562,0.01488,-0.0637,3.97048
0,-11,2,-0.852424,0.01442,-0.0627,4.00643
0,-11,2.5,-0.863298,0.01373,-0.0612,4.07476
0,-11,3,-0.871983,0.01322,-0.06,4.12069
0,-11,3.5,-0.878983,0.01279,-0.0588,4.14843
0,-11,4,-0.88507,0.01244,-0.0579,4.17631
0,-10.5,0.2,-0.673879,0.02745,-0.0744,3.28867
0,-10.5,0.3,-0.69236,0.02379,-0.0734,3.23314
0,-10.5,0.4,-0.713534,0.02157,-0.0715,3.35374
0,-10.5,0.5,-0.731026,0.0201,-0.0699,3.49093
0,-10.5,0.6,-0.744789,0.01896,-0.0683,3.62893
0,-10.5,0.7,-0.756174,0.01818,-0.0672,3.72423
0,-10.5,0.8,-0.765363,0.01747,-0.066,3.80516
0,-10.5,0.9,-0.772741,0.01691,-0.065,3.87599
0,-10.5,1,-0.77943,0.01645,-0.0642,3.92706
0,-10.5,1.25,-0.792526,0.01556,-0.0626,4.01871
0,-10.5,1.5,-0.80222,0.01487,-0.0612,4.08748
0,-10.5,1.75,-0.810182,0.01436,-0.0601,4.13518
0,-10.5,2,-0.816741,0.01394,-0.0593,4.16926
0,-10.5,2.5,-0.827052,0.01326,-0.0576,4.23079
0,-10.5,3,-0.835361,0.01277,-0.0564,4.2717
0,-10.5,3.5,-0.84213,0.0124,-0.0555,4.29751
0,-10.5,4,-0.847973,0.01205,-0.0545,4.32607
0,-10,0.2,-0.644907,0.0262,-0.0711,3.34812
0,-10,0.3,-0.663693,0.02273,-0.0698,3.33455
0,-10,0.4,-0.683696,0.02065,-0.0679,3.48145
0,-10,0.5,-0.699931,0.01924,-0.0661,3.63164
0,-10,0.6,-0.712486,0.01823,-0.0646,3.76999
0,-10,0.7,-0.723007,0.01742,-0.0633,3.87256
0,-10,0.8,-0.73148,0.01683,-0.0624,3.95569
0,-10,0.9,-0.738265,0.0163,-0.0614,4.02088
0,-10,1,-0.744494,0.01585,-0.0606,4.07515
0,-10,1.25,-0.756785,0.01501,-0.059,4.16861
0,-10,1.5,-0.765892,0.01438,-0.0577,4.23483
0,-10,1.75,-0.77344,0.01386,-0.0565,4.28243
0,-10,2,-0.779699,0.01346,-0.0557,4.31751
0,-10,2.5,-0.789486,0.01285,-0.0542,4.37697
0,-10,3,-0.797444,0.01235,-0.0529,4.41695
0,-10,3.5,-0.803982,0.01198,-0.0519,4.44481
0,-10,4,-0.809565,0.01169,-0.051,4.47617
0,-9.5,0.2,-0.61548,0.02499,-0.0678,3.39503
0,-9.5,0.3,-0.634191,0.02178,-0.0663,3.42586
0,-9.5,0.4,-0.652819,0.01979,-0.0641,3.59281
0,-9.5,0.5,-0.667701,0.01848,-0.0623,3.75184
0,-9.5,0.6,-0.679057,0.01753,-0.0609,3.88815
0,-9.5,0.7,-0.688659,0.0168,-0.0597,3.99557
0,-9.5,0.8,-0.696398,0.0162,-0.0586,4.08039
0,-9.5,0.9,-0.702636,0.01572,-0.0578,4.14072
0,-9.5,1,-0.708377,0.01533,-0.0571,4.19857
0,-9.5,1.25,-0.719835,0.01449,-0.0554,4.29611
0,-9.5,1.5,-0.728365,0.01391,-0.0541,4.36252
0,-9.5,1.75,-0.73549,0.01344,-0.0531,4.41247
0,-9.5,2,-0.74143,0.01303,-0.0521,4.45075
0,-9.5,2.5,-0.750692,0.01244,-0.0506,4.51212
0,-9.5,3,-0.758292,0.01199,-0.0494,4.5548
0,-9.5,3.5,-0.764566,0.01162,-0.0483,4.58787
0,-9.5,4,-0.769858,0.01132,-0.0474,4.62352
0,-9,0.2,-0.585657,0.02393,-0.0643,3.44049
0,-9,0.3,-0.603526,0.02092,-0.06245,3.51451
0,-9,0.4,-0.62102,0.01903,-0.0603,3.6938
0,-9,0.5,-0.634492,0.01783,-0.0586,3.8572
0,-9,0.6,-0.644675,0.01689,-0.0571,3.98939
0,-9,0.7,-0.653328,0.01621,-0.0559,4.09886
0,-9,0.8,-0.660324,0.01567,-0.055,4.18443
0,-9,0.9,-0.666053,0.01519,-0.0541,4.24075
0,-9,1,-0.671274,0.0148,-0.0533,4.30198
0,-9,1.25,-0.681859,0.01405,-0.0519,4.40472
0,-9,1.5,-0.689801,0.01346,-0.0505,4.47337
0,-9,1.75,-0.696472,0.01302,-0.0495,4.5274
0,-9,2,-0.702059,0.01267,-0.0487,4.57028
0,-9,2.5,-0.710766,0.01208,-0.047,4.6365
0,-9,3,-0.717971,0.01166,-0.0457,4.68468
0,-9,3.5,-0.723926,0.01134,-0.0447,4.7251
0,-9,4,-0.728884,0.01106,-0.0437,4.76583
0,-8.5,0.2,-0.555411,0.0229,-0.0607,3.49289
0,-8.5,0.3,-0.572862,0.02006,-0.0586,3.60317
0,-8.5,0.4,-0.588364,0.01834,-0.0565,3.79017
0,-8.5,0.5,-0.600407,0.01716,-0.0547,3.95366
0,-8.5,0.6,-0.609459,0.01635,-0.0535,4.08008
0,-8.5,0.7,-0.617159,0.01567,-0.0522,4.18882
0,-8.5,0.8,-0.623408,0.01514,-0.0512,4.27401
0,-8.5,0.9,-0.628661,0.01473,-0.0505,4.32713
0,-8.5,1,-0.633335,0.01435,-0.0497,4.3911
0,-8.5,1.25,-0.643,0.01362,-0.0481,4.49914
0,-8.5,1.5,-0.650328,0.01311,-0.047,4.57127
0,-8.5,1.75,-0.656507,0.01267,-0.0458,4.63031
0,-8.5,2,-0.661697,0.01233,-0.0448,4.67845
0,-8.5,2.5,-0.669798,0.01182,-0.0433,4.75124
0,-8.5,3,-0.676552,0.01141,-0.0419,4.80669
0,-8.5,3.5,-0.682117,0.0111,-0.0407,4.85553
0,-8.5,4,-0.686698,0.01085,-0.0398,4.90144
0,-8,0.2,-0.524656,0.022,-0.0569,3.55812
0,-8,0.3,-0.541006,0.01927,-0.0545,3.69891
0,-8,0.4,-0.554868,0.01768,-0.0525,3.88697
0,-8,0.5,-0.565497,0.01663,-0.051,4.04683
0,-8,0.6,-0.573477,0.0158,-0.0495,4.16628
0,-8,0.7,-0.58024,0.0152,-0.0484,4.2718
0,-8,0.8,-0.585752,0.01471,-0.0475,4.35544
0,-8,0.9,-0.590552,0.0143,-0.0466,4.40608
0,-8,1,-0.594659,0.01396,-0.0459,4.47179
0,-8,1.25,-0.60336,0.01329,-0.0444,4.5844
0,-8,1.5,-0.610042,0.01278,-0.043,4.66046
0,-8,1.75,-0.615683,0.0124,-0.042,4.72467
0,-8,2,-0.62043,0.01208,-0.041,4.77801
0,-8,2.5,-0.627865,0.01157,-0.0394,4.85795
0,-8,3,-0.6341,0.01119,-0.0385,4.92138
0,-8,3.5,-0.639202,0.01087,-0.0377,4.97868
0,-8,4,-0.643361,0.0106,-0.037,5.02931
0,-7.5,0.2,-0.493263,0.02113,-0.0528,3.63975
0,-7.5,0.3,-0.508277,0.01865,-0.0506,3.80373
0,-7.5,0.4,-0.52051,0.01713,-0.0484,3.98819
0,-7.5,0.5,-0.529772,0.01612,-0.0468,4.14145
0,-7.5,0.6,-0.536742,0.0154,-0.0456,4.25322
0,-7.5,0.7,-0.542606,0.01481,-0.0444,4.35347
0,-7.5,0.8,-0.547398,0.01435,-0.0435,4.43447
0,-7.5,0.9,-0.551766,0.01398,-0.0427,4.48321
0,-7.5,1,-0.555296,0.01365,-0.042,4.54947
0,-7.5,1.25,-0.563,0.013,-0.0404,4.66525
0,-7.5,1.5,-0.569001,0.01253,-0.0393,4.74501
0,-7.5,1.75,-0.574061,0.01213,-0.0384,4.81385
0,-7.5,2,-0.578321,0.01181,-0.0378,4.87177
0,-7.5,2.5,-0.585029,0.01132,-0.0368,4.95836
0,-7.5,3,-0.590677,0.01092,-0.0359,5.02951
0,-7.5,3.5,-0.595245,0.01062,-0.0353,5.09441
0,-7.5,4,-0.598944,0.01038,-0.0348,5.14881
0,-7,0.2,-0.461078,0.02045,-0.0485,3.73936
0,-7,0.3,-0.474587,0.01806,-0.0461,3.91925
0,-7,0.4,-0.485239,0.01667,-0.0442,4.09662
0,-7,0.5,-0.4932,0.01573,-0.0427,4.24114
0,-7,0.6,-0.49923,0.01502,-0.0414,4.34493
0,-7,0.7,-0.504248,0.01448,-0.0404,4.43842
0,-7,0.8,-0.508348,0.01405,-0.0397,4.51585
0,-7,0.9,-0.512297,0.01366,-0.0389,4.56313
0,-7,1,-0.515251,0.01334,-0.0384,4.62865
0,-7,1.25,-0.521937,0.01272,-0.0374,4.74579
0,-7,1.5,-0.527229,0.01223,-0.0365,4.8284
0,-7,1.75,-0.531672,0.01187,-0.0358,4.9008
0,-7,2,-0.535411,0.01155,-0.0353,4.96221
0,-7,2.5,-0.541339,0.01106,-0.0343,5.05412
0,-7,3,-0.546335,0.01069,-0.0337,5.13189
0,-7,3.5,-0.550309,0.01039,-0.0331,5.20283
0,-7,4,-0.553522,0.01013,-0.0326,5.25969
0,-6.5,0.2,-0.427947,0.01979,-0.0439,3.85677
0,-6.5,0.3,-0.439841,0.01756,-0.0417,4.04584
0,-6.5,0.4,-0.448985,0.01624,-0.0401,4.2138
0,-6.5,0.5,-0.455728,0.01535,-0.0389,4.34824
0,-6.5,0.6,-0.460887,0.01467,-0.0379,4.44413
0,-6.5,0.7,-0.465121,0.01415,-0.0372,4.52993
0,-6.5,0.8,-0.468565,0.01371,-0.0366,4.60305
0,-6.5,0.9,-0.472106,0.01335,-0.036,4.6492
0,-6.5,1,-0.474497,0.01305,-0.0356,4.71268
0,-6.5,1.25,-0.480162,0.01243,-0.0347,4.82913
0,-6.5,1.5,-0.484725,0.01198,-0.034,4.91335
0,-6.5,1.75,-0.488525,0.0116,-0.0334,4.98784
0,-6.5,2,-0.491718,0.01129,-0.0329,5.05133
0,-6.5,2.5,-0.496429,0.01083,-0.0322,5.14546
0,-6.5,3,-0.501123,0.01046,-0.0315,5.22923
0,-6.5,3.5,-0.504459,0.01017,-0.031,5.30414
0,-6.5,4,-0.50717,0.00994,-0.0307,5.36197
0,-6,0.2,-0.393718,0.01917,-0.0399,3.99035
0,-6,0.3,-0.403944,0.0171,-0.0381,4.18273
0,-6,0.4,-0.411668,0.01584,-0.0367,4.34001
0,-6,0.5,-0.417285,0.01496,-0.0357,4.46379
0,-6,0.6,-0.421639,0.01434,-0.035,4.55217
0,-6,0.7,-0.425161,0.01381,-0.0343,4.62989
0,-6,0.8,-0.427987,0.0134,-0.0338,4.69818
0,-6,0.9,-0.431129,0.01307,-0.0334,4.7434
0,-6,1,-0.432979,0.01276,-0.033,4.80367
0,-6,1.25,-0.437639,0.01217,-0.0322,4.91732
0,-6,1.5,-0.441466,0.01172,-0.0316,5.00163
0,-6,1.75,-0.444613,0.01135,-0.0311,5.07651
0,-6,2,-0.447248,0.01107,-0.0307,5.14053
0,-6,2.5,-0.45152,0.0106,-0.0301,5.23681
0,-6,3,-0.455081,0.01025,-0.0296,5.32211
0,-6,3.5,-0.457754,0.00997,-0.0292,5.39864
0,-6,4,-0.459963,0.00973,-0.0288,5.45583
0,-5.5,0.2,-0.358263,0.01858,-0.0361,4.13737
0,-5.5,0.3,-0.366813,0.01665,-0.0347,4.3282
0,-5.5,0.4,-0.373214,0.01546,-0.0336,4.47441
0,-5.5,0.5,-0.377796,0.01461,-0.0328,4.58757
0,-5.5,0.6,-0.38141,0.01401,-0.0322,4.66906
0,-5.5,0.7,-0.384289,0.01351,-0.0317,4.73881
0,-5.5,0.8,-0.386541,0.01312,-0.0313,4.80199
0,-5.5,0.9,-0.389292,0.01278,-0.0309,4.84638
0,-5.5,1,-0.390634,0.01249,-0.0306,4.90241
0,-5.5,1.25,-0.394321,0.01193,-0.03,5.0113
0,-5.5,1.5,-0.397418,0.01148,-0.0294,5.09407
0,-5.5,1.75,-0.399916,0.01113,-0.0291,5.16758
0,-5.5,2,-0.401997,0.01085,-0.0287,5.23053
0,-5.5,2.5,-0.405433,0.01039,-0.0281,5.32531
0,-5.5,3,-0.408247,0.01005,-0.0278,5.41088
0,-5.5,3.5,-0.410254,0.00977,-0.0274,5.48658
0,-5.5,4,-0.411972,0.00954,-0.0271,5.54159
0,-5,0.2,-0.321478,0.01802,-0.0325,4.29423
0,-5,0.3,-0.328385,0.01622,-0.0316,4.47972
0,-5,0.4,-0.333556,0.01509,-0.0307,4.61519
0,-5,0.5,-0.337196,0.01428,-0.0301,4.71828
0,-5,0.6,-0.340127,0.01369,-0.0296,4.79365
0,-5,0.7,-0.342429,0.01322,-0.0292,4.85592
0,-5,0.8,-0.344153,0.01285,-0.0289,4.91394
0,-5,0.9,-0.34652,0.01251,-0.0286,4.95753
0,-5,1,-0.347395,0.01224,-0.0283,5.00853
0,-5,1.25,-0.350159,0.01168,-0.0278,5.11094
0,-5,1.5,-0.352545,0.01126,-0.0274,5.19058
0,-5,1.75,-0.354415,0.01093,-0.0271,5.26102
0,-5,2,-0.355956,0.01064,-0.0268,5.32139
0,-5,2.5,-0.35858,0.0102,-0.0264,5.41227
0,-5,3,-0.360655,0.00986,-0.026,5.49566
0,-5,3.5,-0.362014,0.00958,-0.0257,5.5682
0,-5,4,-0.363266,0.00937,-0.0255,5.61962
0,-4.5,0.2,-0.283297,0.0175,-0.0291,4.45682
0,-4.5,0.3,-0.288619,0.01578,-0.0285,4.63422
0,-4.5,0.4,-0.292652,0.01473,-0.0279,4.75976
0,-4.5,0.5,-0.295433,0.01397,-0.0275,4.85369
0,-4.5,0.6,-0.297729,0.01341,-0.0271,4.92378
0,-4.5,0.7,-0.299518,0.01295,-0.0268,4.9794
0,-4.5,0.8,-0.300757,0.01259,-0.0266,5.03239
0,-4.5,0.9,-0.302748,0.01227,-0.0264,5.07517
0,-4.5,1,-0.303201,0.012,-0.0262,5.1206
0,-4.5,1.25,-0.305105,0.01146,-0.0258,5.21516
0,-4.5,1.5,-0.306816,0.01105,-0.0255,5.29024
0,-4.5,1.75,-0.308089,0.01072,-0.0253,5.35612
0,-4.5,2,-0.30912,0.01044,-0.025,5.41258
0,-4.5,2.5,-0.310977,0.01002,-0.0247,5.49738
0,-4.5,3,-0.312341,0.00968,-0.0244,5.57634
0,-4.5,3.5,-0.313088,0.00942,-0.0242,5.64361
0,-4.5,4,-0.313912,0.0092,-0.024,5.69029
0,-4,0.2,-0.243688,0.01692,-0.0255,4.62073
0,-4,0.3,-0.247504,0.01537,-0.0255,4.78823
0,-4,0.4,-0.250481,0.01437,-0.0252,4.90494
0,-4,0.5,-0.252478,0.01367,-0.025,4.99085
0,-4,0.6,-0.254183,0.01314,-0.0248,5.05653
0,-4,0.7,-0.255511,0.01269,-0.0246,5.10653
0,-4,0.8,-0.256309,0.01235,-0.0244,5.15477
0,-4,0.9,-0.25793,0.01204,-0.0243,5.19672
0,-4,1,-0.258012,0.01177,-0.0241,5.23633
0,-4,1.25,-0.259129,0.01125,-0.0239,5.32209
0,-4,1.5,-0.260209,0.01086,-0.0237,5.39146
0,-4,1.75,-0.260932,0.01053,-0.0235,5.45156
0,-4,2,-0.261491,0.01026,-0.0233,5.50303
0,-4,2.5,-0.26264,0.00985,-0.0231,5.58001
0,-4,3,-0.263342,0.00952,-0.0229,5.65256
0,-4,3.5,-0.263532,0.00926,-0.0227,5.71287
0,-4,4,-0.263972,0.00904,-0.0226,5.75393
0,-3.5,0.2,-0.20266,0.01612,-0.0214,4.78151
0,-3.5,0.3,-0.20506,0.01491,-0.0224,4.93811
0,-3.5,0.4,-0.207053,0.01402,-0.0225,5.04721
0,-3.5,0.5,-0.208331,0.01336,-0.0225,5.12633
0,-3.5,0.6,-0.209479,0.01285,-0.0224,5.18843
0,-3.5,0.7,-0.210391,0.01245,-0.0224,5.23396
0,-3.5,0.8,-0.210788,0.0121,-0.0223,5.27789
0,-3.5,0.9,-0.211518,0.01181,-0.02225,5.3175
0,-3.5,1,-0.211808,0.01156,-0.0222,5.35276
0,-3.5,1.25,-0.212216,0.01106,-0.0221,5.42925
0,-3.5,1.5,-0.212719,0.01066,-0.0219,5.49209
0,-3.5,1.75,-0.212946,0.01035,-0.0218,5.54555
0,-3.5,2,-0.21308,0.01009,-0.0217,5.59129
0,-3.5,2.5,-0.213597,0.00968,-0.0216,5.65919
0,-3.5,3,-0.2137,0.00937,-0.0214,5.7238
0,-3.5,3.5,-0.213398,0.00912,-0.0214,5.7759
0,-3.5,4,-0.213507,0.0089,-0.0212,5.8108
0,-3,0.2,-0.160257,0.01575,-0.0185,4.93488
0,-3,0.3,-0.16134,0.01419,-0.0186,5.08025
0,-3,0.4,-0.16241,0.01357,-0.0196,5.18291
0,-3,0.5,-0.163022,0.01301,-0.0199,5.25645
0,-3,0.6,-0.163641,0.01255,-0.0201,5.31571
0,-3,0.7,-0.164171,0.01218,-0.0202,5.35796
0,-3,0.8,-0.164201,0.01186,-0.0202,5.3981
0,-3,0.9,-0.165105,0.01158,-0.0202,5.43827
0,-3,1,-0.164597,0.01134,-0.0202,5.46654
0,-3,1.25,-0.164378,0.01085,-0.0202,5.53376
0,-3,1.5,-0.164363,0.01048,-0.0202,5.58961
0,-3,1.75,-0.164154,0.01018,-0.0202,5.63597
0,-3,2,-0.163916,0.00992,-0.0201,5.67556
0,-3,2.5,-0.16357,0.009525,-0.0201,5.73072
0,-3,3,-0.16346,0.00922,-0.02,5.78936
0,-3,3.5,-0.162742,0.00898,-0.02,5.83251
0,-3,4,-0.162574,0.00876,-0.02,5.86108
0,-2.5,0.2,-0.116563,0.0157,-0.0166,5.07693
0,-2.5,0.3,-0.116426,0.01399,-0.0164,5.2112
0,-2.5,0.4,-0.116624,0.01295,-0.0162,5.30845
0,-2.5,0.5,-0.116615,0.01248,-0.0168,5.37753
0,-2.5,0.6,-0.116727,0.01217,-0.0175,5.43456
0,-2.5,0.7,-0.116899,0.01185,-0.0178,5.47467
0,-2.5,0.8,-0.116592,0.01157,-0.018,5.51161
0,-2.5,0.9,-0.11715,0.01133,-0.0181,5.55086
0,-2.5,1,-0.116417,0.01111,-0.0182,5.57412
0,-2.5,1.25,-0.115651,0.01065,-0.0184,5.6325
0,-2.5,1.5,-0.115179,0.01029,-0.0185,5.68132
0,-2.5,1.75,-0.114597,0.01,-0.0185,5.72052
0,-2.5,2,-0.11404,0.00976,-0.0186,5.7539
0,-2.5,2.5,-0.113542,0.00937,-0.0186,5.80225
0,-2.5,3,-0.112675,0.00907,-0.0187,5.84841
0,-2.5,3.5,-0.111621,0.00883,-0.0187,5.88242
0,-2.5,4,-0.111231,0.00863,-0.0187,5.90482
0,-2,0.2,-0.0716909,0.01568,-0.0148,5.20421
